,Name,Photo,Birds,Bees,Butterflies,Hedgehogs,Squirrels
93,Duizendblad-Achillea-clavennae-subsp-integrifolia,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_985_src.jpg']",Ja,,,,
94,Duizendblad-Achillea-clypeolata-Theo-Ploeger,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1234_src.jpg']",Ja,,Ja,,
95,duizendblad-achillea-filipendulina-parker-s-variety/,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Achilea-duizendblad-gele-bloemen-schermbloemen-border.png']",Ja,,Ja,,
96,Duizendblad-Achillea-grandifolia,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_373_src.jpg']",Ja,,Ja,,
97,Duizendblad-Achillea-nobilis-subsp-neilreichii,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1642_src.jpg']",Ja,,Ja,,
98,Duizendblad-Achillea-tomentosa,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1002_src.jpg']",Ja,,Ja,,
99,Duizendblad-Achillea-tomentosa-Grandiflora,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1256_src.jpg']",Ja,,Ja,,
100,Duizendblad-Achillea-umbellata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_256_src.jpg']",Ja,,,,
101,Duizendblad-Achillea-x-lewisii,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3710_src.jpg']",Ja,,Ja,,
102,Duizendknoop-Persicaria,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Duizendknoop-Persicaria-.jpg']",,Ja,Ja,,
103,Duizendknoop-Persicaria-Vacciniifolia,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_942_src.jpg']",Ja,,,,
104,Duizendknoop-Persicaria-affinis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2778_src.jpg']",Ja,,,,
